ticket-reference_id;product-reference_id;quantity;price;variation_id
46;16;2;37.01;3
46;38;1;89.16;1
46;43;4;23.87;9
47;41;5;94.2;3
48;12;3;99.44;3
49;41;4;86.97;7
49;30;2;23.81;8
50;12;4;78.83;6
50;36;5;81.99;0
51;42;1;84.64;1
52;9;4;59.32;3
52;45;2;61.66;2
52;24;4;23.8;6
53;23;3;87.31;9
53;34;3;44.14;8
53;18;5;98.47;7
53;17;2;93.35;8
53;10;4;84.66;10
54;22;4;31.57;2
54;44;2;90.98;10
54;35;3;75.66;5
54;32;2;87.75;6
55;10;4;63.19;5
56;9;4;18.89;9
57;11;3;11.81;5
57;35;1;72.64;6
57;5;2;37.14;7
58;6;2;21.45;7
58;12;5;81.57;0
59;17;1;27.71;9
59;41;4;78.65;10
59;41;1;86.66;2
60;25;2;42.22;2
60;5;5;56.06;6
61;28;5;67.66;6
61;47;4;37.08;6
62;48;1;56.76;3
62;25;1;67.53;2
62;34;2;26.83;9
63;17;4;51.89;0
63;9;4;93.46;4
63;6;4;91.5;9
63;18;5;13.8;9
63;24;1;12.74;4
64;4;5;71.08;9
64;39;2;88.59;10
64;22;3;35.48;9
65;44;3;5.24;6
66;3;5;8.69;5
66;45;3;58.24;8
66;26;4;19.94;9
66;42;5;17.09;2
67;23;1;14.43;5
67;47;4;35.68;9
68;24;4;37.94;1
68;47;3;95.66;6
68;49;1;91.16;0
69;17;4;37.1;7
70;31;5;20.35;9
70;24;5;9.18;0
70;30;1;51.76;8
70;10;4;96.75;10
70;1;4;49.93;7
71;24;4;12.22;4
71;17;1;93.08;5
71;32;4;26.14;7
72;48;4;66.66;6
73;20;2;80.8;5
73;48;3;94.09;10
74;27;3;48.84;8
74;42;1;56.95;3
75;19;1;69.32;8
75;33;5;7.82;3
75;1;4;27.3;8
76;40;4;70.2;2
76;46;4;52.3;7
76;48;2;29.76;9
77;3;1;28.65;9
77;9;2;57.4;2
78;20;2;26.19;5
78;45;2;80.3;4
78;10;4;84.58;10
78;39;1;17.09;10
78;11;4;86.87;10
79;3;1;22.5;10
80;23;1;56.88;6
80;48;2;9.15;6
80;1;3;33.26;10
80;5;1;85.16;0
80;32;1;15.33;7
81;18;1;96.59;1
81;44;5;42.49;0
81;12;3;62.93;5
81;40;4;12.23;6
82;48;1;62.09;1
82;39;5;68.64;3
83;17;2;50.19;8
83;11;3;15.28;8
83;11;3;89.48;1
83;15;4;69.89;0
84;30;5;19.31;1
84;38;5;41.07;3
84;29;3;25.85;3
84;43;3;80.78;1
85;6;5;45.63;9
85;36;2;10.94;0
85;17;3;78.79;4
85;33;4;25.01;2
86;9;3;8.6;3
86;31;3;54.78;1
86;47;5;38.99;4
86;36;4;17.13;2
86;37;5;76.81;1
87;27;5;37.16;9
87;47;5;12.75;6
87;13;4;55.61;7
87;26;3;84.3;5
87;38;2;82.97;1
88;7;2;26.11;4
88;38;4;16.45;4
88;36;3;71.56;8
88;3;1;95.07;9
88;5;3;8.52;3
89;27;2;64.61;1
89;40;1;53.56;1
90;40;2;41.05;5
90;44;4;79.21;7
90;7;3;44.33;9
91;6;4;6.64;9
92;43;4;93.57;9
92;25;3;24.31;4
92;6;3;61.56;0
93;24;3;99.27;6
93;8;3;49.56;2
94;28;1;84.41;0
94;10;1;16.83;1
94;42;2;60.23;3
94;46;3;62.66;1
94;11;2;56.7;1
95;28;1;97.56;8
95;12;3;95.71;6
95;16;5;82.11;0
96;49;1;55.62;6
96;42;5;64.26;3
97;2;1;22.46;3
97;33;5;12.86;8
97;23;5;84.77;10
98;34;5;73.98;4
98;46;5;77.85;3
98;30;3;64.55;8
99;38;2;46.93;7
99;34;5;95.42;0
99;20;3;50.35;0
99;49;4;68.45;7
100;3;3;61.57;5
100;2;2;79.88;0
101;17;3;77.56;6
101;2;5;23.11;4
101;16;4;6.48;5
101;47;3;52.48;2
102;1;2;23.28;1
102;16;5;39.42;8
102;38;5;82.0;7
103;38;1;33.66;4
103;10;5;51.51;8
104;34;4;13.95;9
104;21;2;84.27;3
105;19;3;71.2;0
106;1;3;58.66;1
106;27;2;12.69;5
106;34;5;19.74;6
106;3;5;35.98;6
107;28;3;59.41;3
107;12;4;63.49;7
107;50;5;9.0;5
107;47;2;23.66;6
108;3;5;60.45;9
109;39;3;37.74;10
109;45;5;69.01;10
109;40;5;54.18;5
109;25;5;19.91;9
110;38;5;36.45;3
110;12;5;60.22;0
110;27;3;19.19;7
110;3;2;15.47;9
110;24;1;42.41;6
111;31;4;71.17;2
111;6;3;43.38;2
112;2;1;87.22;4
112;30;5;75.26;8
113;44;5;98.08;8
113;12;3;20.32;6
113;10;4;57.97;8
114;9;1;69.16;9
114;19;4;63.66;8
114;3;1;76.61;5
114;4;3;48.12;7
114;6;4;76.55;3
115;44;4;55.44;6
115;13;3;40.56;2
115;11;5;40.58;5
115;24;4;45.94;10
116;20;3;73.52;4
117;14;5;28.91;8
118;23;3;89.34;4
118;24;5;16.0;5
118;49;2;51.14;6
118;43;1;79.64;6
118;18;2;9.64;6
119;47;2;40.47;10
119;46;5;79.62;1
119;2;5;80.64;0
120;7;5;48.43;3
121;46;2;59.64;5
121;47;5;8.74;1
121;13;4;53.32;6
122;44;3;57.26;7
122;29;5;64.16;6
122;32;5;57.37;8
122;10;4;8.87;6
123;31;3;58.44;8
123;15;2;93.05;3
123;22;5;34.92;0
124;31;3;11.13;5
124;24;4;19.62;1
124;33;3;93.58;1
124;39;3;27.42;0
125;31;4;60.0;2
125;11;1;31.67;4
126;46;4;92.6;9
127;35;4;81.88;5
127;49;2;39.54;0
127;27;5;96.38;1
128;37;2;89.18;4
129;15;5;10.11;10
130;50;3;5.15;2
130;43;5;25.51;8
130;2;4;93.5;2
131;32;5;22.76;3
131;46;4;6.29;3
131;27;1;76.2;10
132;22;1;26.98;4
132;35;1;74.28;6
132;21;5;46.33;7
132;14;5;21.29;2
132;31;3;93.03;10
133;24;1;90.52;4
133;2;5;64.13;8
133;25;5;8.23;4
133;5;4;34.04;3
134;19;4;26.14;1
135;23;4;40.49;5
136;41;3;95.67;4
136;20;5;82.38;9
136;32;3;72.94;9
136;12;2;72.04;5
137;42;3;27.45;7
137;27;5;70.21;8
137;4;4;28.18;0
137;42;5;38.12;8
138;26;4;33.41;0
138;26;4;69.03;10
139;34;4;62.63;0
139;12;5;26.58;1
140;15;1;47.0;1
140;30;2;80.47;4
140;38;3;24.21;8
140;27;5;21.92;6
140;22;3;78.62;1
141;40;5;68.54;3
141;14;5;69.56;4
141;34;5;46.69;9
142;7;4;23.64;6
143;34;3;52.55;0
143;14;5;33.17;4
144;25;4;32.89;7
144;28;4;71.61;4
144;48;5;70.55;6
144;5;3;41.22;5
145;29;5;78.93;6
146;11;5;86.93;0
146;48;3;69.21;10
146;40;3;23.31;9
146;42;5;75.37;0
146;50;2;55.33;0
147;38;4;98.06;2
147;28;2;9.56;6
148;16;5;98.18;1
148;38;2;7.41;3
149;43;3;84.31;6
149;10;5;30.72;0
149;47;2;10.56;10
149;11;5;87.4;2
149;8;3;36.58;2
150;27;5;87.71;4
150;46;3;71.57;10
150;26;4;41.54;2
150;12;2;72.37;8
150;5;1;78.91;4
151;4;3;12.56;9
151;8;3;51.74;0
151;34;1;28.38;1
151;49;5;38.7;8
151;13;5;70.74;8
152;8;2;35.15;9
152;42;3;41.81;6
153;40;5;47.51;6
153;39;5;44.14;5
153;29;1;41.61;2
153;29;2;20.56;8
153;36;3;41.04;0
154;1;3;75.06;7
154;21;2;17.21;8
154;9;2;24.11;7
154;5;4;97.45;0
154;5;5;18.02;1
155;22;4;87.66;2
155;7;1;44.17;7
155;39;3;41.45;10
155;35;4;7.65;10
156;10;1;93.43;4
156;26;4;76.98;5
156;28;2;23.46;6
156;45;5;76.71;5
156;45;4;30.03;8
157;24;3;25.5;1
157;11;2;45.55;6
157;41;2;39.16;7
157;49;2;93.08;6
157;44;4;40.74;7
158;19;1;99.32;5
159;9;4;91.34;6
159;8;2;57.79;6
159;26;3;50.75;2
160;41;1;99.51;6
161;25;3;45.44;4
161;49;1;13.02;0
162;21;2;78.33;1
163;3;1;51.81;4
163;28;1;18.21;1
163;42;3;12.17;0
164;50;3;63.04;0
164;17;3;98.3;5
164;2;4;8.48;6
164;11;2;20.63;4
165;38;3;73.54;7
165;46;4;64.97;4
165;50;4;59.63;9
166;11;2;75.03;0
166;25;2;80.24;0
167;39;2;36.93;3
168;44;2;37.93;3
169;45;4;26.25;5
169;29;5;26.52;7
169;26;5;49.99;0
170;36;3;68.62;8
171;16;4;47.94;1
172;11;4;59.43;6
172;4;2;88.8;0
172;24;1;92.36;8
172;39;5;64.88;5
173;29;5;63.07;8
173;41;3;86.69;6
173;50;3;50.06;6
173;49;5;45.69;4
174;47;2;35.13;0
174;6;4;63.76;10
174;31;2;33.73;9
175;30;3;14.12;10
175;47;2;56.81;3
175;14;5;9.86;2
175;4;2;96.03;6
175;46;3;77.98;3
176;28;1;33.8;2
176;14;4;54.65;4
176;18;3;37.73;10
176;28;2;23.23;7
177;45;5;9.51;4
177;41;3;7.24;5
177;19;1;27.22;2
177;50;5;82.65;4
178;16;4;62.25;4
179;12;2;57.75;8
179;28;1;54.5;7
179;4;1;81.93;9
180;36;2;96.09;9
180;4;3;71.36;6
180;13;5;60.09;8
181;17;1;26.67;10
181;42;4;25.95;10
181;16;5;72.12;0
181;40;2;49.23;7
181;1;2;18.85;5
182;2;5;29.45;5
183;6;4;67.64;1
184;14;5;96.57;2
184;42;3;70.25;9
184;49;5;57.59;1
184;13;1;56.02;8
184;33;1;88.78;4
185;13;3;39.12;2
185;17;2;45.03;6
185;1;1;15.6;7
185;3;4;95.23;4
185;38;3;43.54;9
186;31;1;49.16;2
186;24;4;23.31;0
186;33;2;94.07;4
186;48;3;85.55;6
186;8;4;55.27;2
187;2;2;47.74;8
188;49;5;47.26;10
189;11;1;86.93;6
189;16;4;36.9;0
189;22;2;95.14;8
190;37;1;70.06;7
191;41;4;83.07;0
191;29;5;46.22;3
191;1;4;43.87;8
191;14;4;18.38;6
191;49;1;90.5;1
192;48;3;46.99;4
193;28;1;35.27;5
193;5;4;65.83;3
194;11;1;74.98;8
194;45;5;22.57;0
194;49;2;56.89;6
194;20;2;12.57;7
194;42;1;84.46;9
195;42;3;94.84;2
195;34;5;9.17;8
195;34;3;68.07;0
195;10;5;65.88;0
195;25;3;18.97;6
196;38;1;77.66;6
196;9;2;5.3;8
196;37;2;48.69;0
196;25;1;49.21;2
196;46;1;47.92;1
197;2;5;26.83;8
197;11;5;90.29;1
197;36;5;74.51;3
197;7;4;65.12;2
198;14;3;28.81;3
198;38;4;94.12;3
199;19;4;64.08;7
200;27;5;75.52;3
200;43;1;29.85;3
201;45;3;21.51;4
201;42;2;57.0;4
202;48;5;13.93;5
202;12;3;25.15;6
202;21;2;93.39;8
202;50;3;63.25;8
202;27;3;91.83;9
203;47;4;5.23;5
204;22;1;80.27;10
204;2;2;34.04;7
204;21;2;60.22;1
205;11;3;57.92;7
206;37;1;37.85;4
206;9;1;28.62;3
207;39;5;15.27;8
208;31;5;38.41;1
208;49;3;90.11;9
208;47;4;53.95;2
208;16;1;12.15;6
208;7;5;72.21;0
209;14;3;42.27;7
209;8;5;19.18;9
209;49;4;29.6;1
210;28;3;63.4;9
210;43;5;17.34;5
210;49;5;47.2;5
210;7;1;45.99;3
210;9;1;51.3;5
211;9;4;53.08;5
211;33;5;29.7;2
212;43;1;5.72;9
212;23;3;36.33;4
212;29;1;22.65;8
212;38;5;38.68;4
213;2;5;19.08;8
213;30;1;19.69;0
213;14;2;57.13;4
213;9;4;26.46;7
214;1;1;30.5;8
214;2;2;9.58;7
215;1;2;13.93;5
215;2;3;45.34;6
216;5;3;98.35;0
216;24;5;41.06;2
216;19;1;98.54;6
216;38;4;74.84;3
216;2;3;87.02;6
217;31;3;84.82;6
217;44;3;93.68;7
217;41;2;16.63;10
217;23;3;70.55;5
217;48;1;48.75;9
218;34;1;53.04;1
218;47;3;57.2;9
218;10;4;91.0;3
218;50;3;55.85;1
218;35;3;45.24;7
219;21;3;73.08;10
219;28;5;72.05;5
220;17;3;37.18;10
220;48;3;88.08;8
220;49;1;99.02;9
220;27;1;27.89;3
221;45;3;29.33;1
221;2;2;83.81;4
221;1;5;68.92;4
221;38;2;92.12;4
221;46;2;48.21;5
222;32;3;57.08;6
223;39;4;49.57;4
223;24;2;40.04;7
223;25;3;71.61;2
223;14;1;9.18;0
224;41;3;56.95;2
224;15;2;70.68;0
224;15;5;12.03;1
224;36;1;72.52;3
224;23;2;43.71;1
225;17;3;84.06;0
225;3;3;74.66;3
225;48;2;26.82;9
225;13;4;70.92;9
226;47;1;65.24;5
226;29;4;78.78;3
226;9;2;85.03;8
226;8;5;32.58;1
227;22;1;93.4;5
228;37;3;69.98;3
228;37;5;43.3;3
229;21;4;83.75;4
229;22;3;21.17;6
229;43;4;97.06;4
230;31;3;37.35;6
230;26;5;84.07;7
230;6;2;15.52;7
230;50;3;78.28;5
230;44;2;44.36;10
231;50;3;51.28;0
231;24;3;98.24;10
231;40;3;95.22;2
231;3;1;80.9;10
232;42;1;20.85;3
232;32;4;91.86;3
232;16;4;61.8;5
233;23;4;13.56;1
234;11;1;81.53;6
234;12;2;33.18;7
234;5;5;56.18;10
235;17;3;6.59;5
236;12;4;20.94;0
236;48;1;69.34;10
236;38;1;63.66;2
237;4;3;30.19;1
237;8;3;83.53;8
237;10;4;87.27;7
237;1;4;7.02;7
237;28;1;73.65;4
238;7;2;58.08;0
238;5;5;73.67;9
238;42;5;63.31;6
239;34;1;7.62;3
239;8;5;84.56;6
240;50;5;86.15;2
240;28;3;44.12;6
240;18;4;30.72;8
241;30;5;99.4;4
242;7;5;47.65;6
242;8;1;82.46;4
242;49;2;98.65;6
242;39;5;44.73;5
243;42;3;77.89;10
243;9;5;56.27;8
243;28;5;73.53;2
243;13;2;62.48;0
244;48;4;59.69;10
244;18;1;60.81;1
244;3;5;21.56;1
244;39;2;10.09;2
245;42;3;80.2;3
245;42;3;48.38;0
246;6;5;94.19;10
246;48;1;69.63;0
246;26;4;19.31;6
247;33;1;76.95;4
247;22;4;29.0;3
247;11;4;13.89;1
248;6;4;26.62;9
249;35;3;52.36;5
249;35;1;9.55;0
249;25;2;52.91;9
249;16;5;51.78;10
249;8;5;88.36;5
250;45;3;57.91;2
251;34;1;33.44;2
251;42;5;72.18;8
251;23;1;6.43;8
251;1;1;89.11;2
251;25;5;6.83;2
252;34;3;30.69;6
252;38;2;55.75;5
252;33;3;59.15;7
253;13;2;85.59;10
253;44;4;31.11;2
253;2;4;27.4;5
253;33;5;61.1;5
254;31;2;63.11;6
255;15;2;61.66;4
255;22;2;26.03;1
255;1;5;30.61;7
256;13;1;36.98;6
256;47;4;93.26;1
257;15;5;42.74;5
257;46;4;98.64;5
257;49;3;52.79;8
257;6;4;72.11;9
258;2;3;34.89;9
259;47;4;55.14;6
259;12;3;87.85;3
259;47;4;91.98;1
260;38;5;65.28;8
260;11;3;9.78;0
260;36;2;23.13;2
260;26;3;79.0;10
260;38;5;46.6;9
261;12;4;21.37;7
261;46;5;36.85;1
261;50;4;57.23;9
261;13;3;21.66;3
262;28;4;90.71;7
262;50;5;48.68;4
262;23;3;78.28;3
262;4;4;92.47;0
263;5;3;67.11;7
263;40;1;60.18;0
263;39;4;16.53;3
263;21;1;54.67;0
263;23;1;82.53;5
264;25;2;83.11;5
265;16;4;87.99;4
266;7;4;89.43;0
267;7;2;85.1;10
267;2;5;39.76;3
268;14;1;14.89;4
268;6;5;86.76;1
268;40;5;32.85;10
268;50;4;14.81;2
269;39;1;79.72;3
269;42;4;52.95;10
269;40;2;18.27;4
269;18;5;98.8;5
269;31;5;87.5;1
270;1;5;51.71;7
270;2;2;30.6;5
270;32;3;7.5;8
270;33;1;30.29;8
271;13;2;62.19;8
272;50;2;49.29;10
273;1;5;59.15;8
273;4;3;97.39;4
274;9;3;90.42;0
275;43;4;17.94;3
275;23;4;48.01;1
275;1;5;6.12;8
276;12;4;39.55;3
276;3;3;22.06;8
276;29;2;35.11;1
276;12;5;13.51;10
276;12;2;96.54;6
277;12;5;6.98;6
277;29;5;20.55;1
278;15;5;49.69;10
278;24;1;65.81;7
278;6;2;47.78;3
278;24;2;45.93;0
279;1;3;99.28;8
279;47;4;19.26;4
279;8;3;70.92;2
279;37;4;73.67;6
279;24;1;54.45;4
280;12;4;29.73;3
281;40;1;56.52;2
282;10;1;33.61;4
282;24;1;52.81;4
282;42;4;68.49;2
282;1;4;30.93;6
283;2;1;52.69;5
283;2;1;29.65;0
283;46;2;50.24;3
284;18;5;63.35;8
284;16;5;85.49;7
284;20;2;7.06;6
285;41;1;19.51;5
285;50;5;65.83;3
285;7;2;68.21;9
286;5;2;28.19;10
287;7;3;41.01;7
288;7;5;40.82;1
288;24;5;47.0;4
289;37;5;43.1;7
289;41;4;23.71;1
289;5;4;90.95;6
289;5;5;76.37;5
290;34;4;73.52;1
290;26;5;42.18;5
290;10;1;48.07;4
290;26;5;86.92;0
290;39;4;38.04;4
291;35;2;26.37;6
291;38;1;88.82;5
291;40;3;25.5;6
291;28;3;80.49;8
291;24;4;34.08;0
292;20;2;92.7;3
292;21;2;78.26;10
293;9;3;73.88;9
293;13;4;94.75;1
293;46;4;76.89;7
294;8;4;49.09;3
294;1;4;95.92;3
294;24;2;56.53;10
294;11;2;91.85;8
295;38;1;6.36;3
295;44;5;21.73;5
296;40;4;94.84;7
296;8;2;49.72;9
297;43;5;64.53;5
297;24;1;38.16;1
297;39;4;99.87;6
297;18;3;53.34;9
297;1;1;53.46;5
298;31;2;20.17;8
299;21;4;15.03;10
299;10;5;57.54;3
299;46;2;34.69;10
300;8;1;24.32;0
300;23;2;15.67;4
300;47;1;78.19;8
301;6;1;79.32;4
301;44;1;65.47;3
301;15;4;20.09;9
301;40;2;54.54;9
301;8;5;73.56;10
302;47;2;5.19;9
302;16;5;17.14;1
302;25;2;71.89;2
303;10;4;19.75;6
303;34;2;13.41;3
303;1;3;51.74;6
303;49;5;74.68;2
303;9;1;21.14;2
304;13;1;93.73;8
304;25;1;89.8;10
305;45;1;94.63;6
305;46;2;34.12;2
306;26;2;67.29;7
306;2;4;55.1;2
306;19;2;80.85;3
306;15;2;93.99;2
306;3;5;84.94;6
307;28;4;23.59;1
307;36;2;9.63;10
308;11;4;26.2;6
309;14;3;58.86;8
309;22;5;40.77;5
309;9;3;73.57;0
309;9;4;76.2;1
309;26;4;6.54;3
310;2;4;41.1;5
311;33;3;96.01;7
312;9;3;10.16;6
312;15;4;87.31;1
313;9;2;15.76;9
313;9;5;14.88;6
314;7;3;6.13;6
314;44;3;80.93;0
314;22;4;8.68;1
314;5;1;57.88;6
314;37;4;94.28;6
315;23;5;28.91;1
315;10;3;73.62;7
315;23;3;55.13;7
316;2;3;22.15;8
317;44;1;16.74;5
317;46;3;8.05;7
317;19;5;17.37;9
317;37;4;14.64;1
318;5;1;19.08;5
319;47;3;5.29;0
320;16;2;64.12;0
320;35;5;52.06;4
320;47;1;56.53;8
320;29;4;69.97;4
320;5;5;21.38;3
321;46;5;5.5;4
321;34;5;38.36;6
321;35;2;46.52;0
322;4;4;81.59;9
322;39;5;78.45;4
322;35;5;98.96;6
323;6;5;20.68;5
323;11;2;27.45;4
323;5;2;61.6;5
323;30;2;22.46;7
324;4;3;64.76;6
324;28;3;25.88;1
324;42;1;38.06;6
324;42;4;96.93;9
325;30;2;31.06;7
326;24;1;11.7;4
326;10;2;78.72;7
326;17;3;92.57;3
326;22;2;65.24;6
326;32;4;22.04;9
327;42;1;8.35;2
327;27;4;16.6;7
327;18;3;55.27;10
327;31;4;96.68;3
328;10;4;67.57;3
328;22;5;31.12;10
328;14;4;38.82;3
329;44;1;99.74;6
329;20;2;72.76;2
329;29;3;96.93;1
329;44;4;81.99;2
329;23;2;27.23;2
330;27;4;91.14;9
331;43;3;20.92;8
332;32;3;67.3;7
332;21;4;54.86;4
332;37;1;19.64;0
332;21;3;31.32;9
333;19;5;75.46;3
333;7;2;37.24;9
334;39;5;94.05;6
334;2;2;43.36;0
334;2;4;84.7;4
335;17;2;34.23;4
335;16;3;72.65;0
335;33;2;84.3;6
335;48;2;68.52;8
336;1;3;45.24;6
336;46;2;34.53;9
337;39;1;61.23;0
337;9;5;8.03;4
337;29;5;8.92;4
338;28;2;8.03;6
338;9;3;25.1;5
338;27;5;7.83;9
338;26;3;43.73;1
339;3;5;97.3;1
339;5;2;26.53;2
339;46;4;89.32;1
339;29;4;45.98;10
339;3;5;7.18;0
340;17;3;61.5;6
341;10;1;46.31;9
341;22;4;69.83;1
341;20;3;45.8;8
341;32;2;11.25;5
341;6;2;25.29;7
342;33;5;56.51;5
342;30;4;49.51;6
342;38;4;80.12;2
342;5;2;45.96;3
343;23;1;76.33;4
344;37;1;21.44;0
345;39;4;88.36;2
345;19;5;27.17;4
345;12;2;66.23;0
345;8;4;10.52;1
346;11;1;56.26;0
346;24;1;20.58;2
346;36;3;42.89;6
346;18;3;85.49;10
346;19;3;88.77;10
347;8;1;53.75;6
347;24;3;19.07;4
347;31;1;12.76;5
347;22;5;17.71;0
347;20;3;74.47;1
348;38;2;10.11;9
348;2;2;67.4;9
348;34;1;84.53;8
348;47;4;79.42;1
349;39;5;58.83;0
349;26;4;61.88;4
349;3;5;10.52;0
349;19;4;38.67;4
349;9;1;88.79;2
350;37;1;96.68;2
351;36;1;75.04;5
351;50;1;38.05;5
351;24;1;54.96;10
351;13;1;45.42;3
352;32;5;59.65;6
352;23;3;85.43;6
352;8;3;19.2;3
352;29;4;35.63;3
353;15;1;31.58;10
353;31;2;87.41;4
354;46;5;46.67;4
354;36;4;68.49;5
354;25;3;6.62;6
355;31;2;6.32;5
355;35;4;73.34;0
355;44;2;97.07;5
355;31;2;81.57;5
355;43;4;98.83;4
356;1;5;7.46;3
356;28;1;55.8;8
356;41;2;19.7;4
357;2;2;59.09;4
357;2;4;92.17;1
357;17;1;98.83;2
357;47;3;29.62;9
357;49;2;62.15;10
358;31;2;97.16;4
358;16;3;69.74;7
358;44;5;14.55;1
359;38;1;66.7;1
359;40;1;21.1;5
359;44;2;13.98;7
359;28;1;32.71;3
360;35;3;93.2;10
360;36;2;84.54;0
360;45;4;93.39;8
360;17;3;49.24;9
360;30;2;78.9;1
361;20;4;55.39;1
361;6;1;24.73;9
361;30;5;21.81;3
361;20;4;42.12;2
362;5;3;87.99;7
363;1;3;82.94;0
363;37;2;35.72;8
363;37;4;80.35;10
364;18;3;58.18;7
364;41;4;63.49;8
364;20;3;85.79;3
364;21;4;30.07;2
364;18;4;39.61;0
365;49;2;23.68;7
365;18;2;82.83;7
366;2;2;34.5;6
366;19;5;56.67;3
366;17;5;32.53;6
366;17;4;39.19;0
367;43;1;93.01;9
368;9;4;86.14;7
368;36;2;55.03;9
368;25;3;79.14;9
368;18;3;96.14;3
369;45;3;92.05;6
370;31;3;84.04;3
370;39;4;45.03;6
370;48;2;62.87;0
371;16;4;16.06;6
372;35;2;99.16;7
372;30;2;93.0;9
372;50;4;25.93;8
372;26;3;37.36;2
373;20;1;7.88;8
373;17;3;37.28;4
373;33;3;79.1;10
374;9;2;37.89;5
374;38;4;73.95;9
374;36;3;32.69;8
375;35;4;23.68;8
375;18;1;91.83;1
375;23;2;33.59;6
376;38;3;52.3;4
376;44;2;89.08;0
376;6;3;89.97;9
376;38;1;56.08;5
376;4;4;50.1;0
377;34;2;57.69;6
377;29;4;43.12;2
377;26;1;58.96;0
377;34;5;41.95;3
378;11;4;79.33;8
378;49;1;10.56;4
378;5;4;89.64;6
379;13;4;82.89;7
380;47;2;25.21;0
380;12;4;72.75;5
380;2;2;89.76;8
380;12;3;62.27;0
380;30;5;77.79;3
381;15;5;72.64;10
382;39;1;82.8;8
383;18;3;23.52;2
383;31;5;71.35;4
383;20;5;14.26;4
383;6;2;7.28;6
384;37;5;37.1;10
384;19;4;47.84;6
385;20;2;64.73;5
385;2;3;99.0;3
385;25;2;21.1;10
385;24;3;68.97;8
385;50;2;44.91;7
386;5;5;11.99;7
386;28;5;92.36;7
386;25;5;68.2;3
386;19;4;72.56;2
386;33;2;39.99;2
