reference_id;reference_date;user-reference_id;shop-reference_id;total_amount;total_discount;channel
101;2025-01-08;90;1;270.16;3.78;e-commerce
102;2022-09-04;877;3;88.72;18.01;retail
103;2025-03-15;257;1;162.26;2.32;retail
104;2022-11-21;796;3;280.08;32.83;e-commerce
105;2022-07-03;193;1;198.51;36.42;retail
106;2023-06-05;732;1;344.68;2.13;retail
107;2023-07-22;203;3;260.61;24.79;mobile
108;2022-11-09;265;1;230.27;22.86;retail
109;2023-05-21;149;2;87.44;8.1;e-commerce
110;2024-03-08;96;1;187.76;32.91;retail
111;2022-12-03;742;2;169.99;19.4;e-commerce
112;2025-01-08;663;2;109.64;42.61;retail
113;2022-10-15;676;1;291.31;15.38;retail
114;2024-03-03;151;3;140.26;46.29;retail
115;2023-07-27;21;3;154.29;29.58;retail
116;2024-05-22;103;2;137.0;7.43;e-commerce
117;2022-11-12;483;3;186.77;20.03;mobile
118;2022-08-30;927;1;41.64;8.53;retail
119;2023-12-28;500;2;323.75;32.38;e-commerce
120;2024-01-28;827;2;224.59;2.06;mobile
121;2025-02-03;458;1;226.93;6.43;mobile
122;2024-03-10;322;3;188.56;18.4;retail
123;2023-11-13;722;1;213.07;3.56;mobile
124;2022-03-13;470;3;369.6;14.79;e-commerce
125;2023-11-05;287;3;409.56;40.48;mobile
126;2023-04-05;681;3;195.64;19.62;mobile
127;2023-01-07;337;1;109.2;37.23;mobile
128;2022-08-13;786;1;314.42;25.46;mobile
129;2024-12-06;156;1;345.27;38.58;retail
130;2023-09-09;186;1;423.93;13.41;mobile
131;2022-11-15;967;2;388.67;44.78;e-commerce
132;2022-12-17;815;1;385.18;23.82;retail
133;2023-10-05;623;1;20.9;30.66;retail
134;2024-05-04;324;3;295.37;35.57;retail
135;2022-02-25;906;3;17.82;8.58;e-commerce
136;2024-10-24;912;1;271.2;44.94;e-commerce
137;2024-03-30;835;2;28.54;22.52;retail
138;2023-12-09;251;3;101.77;22.36;e-commerce
139;2024-10-05;174;3;267.98;36.28;mobile
140;2022-04-03;906;2;134.78;48.37;e-commerce
141;2023-07-06;755;1;356.72;36.82;retail
142;2025-03-10;722;1;77.54;9.65;e-commerce
143;2025-02-09;831;1;172.09;16.33;retail
144;2024-07-01;491;2;290.72;11.04;mobile
145;2023-11-24;365;2;488.09;25.25;e-commerce
146;2024-07-15;892;2;495.16;14.98;e-commerce
147;2023-07-10;737;1;88.53;25.13;retail
148;2024-07-13;773;1;339.77;5.86;e-commerce
149;2022-11-01;999;1;331.19;20.8;retail
150;2024-02-26;229;2;348.59;37.13;retail
151;2024-12-25;712;2;369.09;38.81;e-commerce
152;2024-05-28;569;2;288.45;25.65;e-commerce
153;2024-11-08;859;3;73.7;38.85;e-commerce
154;2023-01-29;273;3;180.53;0.67;mobile
155;2024-12-20;206;2;244.72;35.95;retail
156;2023-10-12;406;2;57.74;39.29;retail
157;2024-07-01;665;3;22.27;23.29;e-commerce
158;2023-06-09;492;1;28.56;30.96;retail
159;2022-05-16;354;3;485.0;26.83;mobile
160;2024-01-09;433;1;102.72;2.06;e-commerce
161;2022-04-26;137;1;308.94;8.68;retail
162;2024-02-12;318;1;126.27;42.48;e-commerce
163;2023-06-26;209;1;300.83;33.85;mobile
164;2023-12-07;63;3;320.99;4.87;e-commerce
165;2023-07-16;592;3;276.04;11.71;e-commerce
166;2022-04-10;46;3;296.7;18.1;mobile
167;2024-11-06;762;2;188.23;12.52;e-commerce
168;2024-02-23;818;2;351.22;48.3;e-commerce
169;2023-10-12;698;3;207.08;44.08;retail
170;2024-11-22;608;3;84.81;27.75;e-commerce
171;2022-05-05;654;1;460.37;17.29;mobile
172;2024-04-08;458;3;490.58;10.56;e-commerce
173;2024-09-09;982;3;341.16;23.0;e-commerce
174;2024-08-11;697;3;336.68;26.63;retail
175;2023-07-20;840;1;77.74;6.8;e-commerce
176;2022-10-03;273;1;434.77;23.06;mobile
177;2022-06-29;356;2;192.78;45.3;e-commerce
178;2023-11-14;755;3;104.69;42.16;retail
179;2023-11-06;64;2;368.05;0.48;e-commerce
180;2023-03-30;544;3;361.1;18.25;e-commerce
181;2022-06-03;159;1;467.67;0.86;e-commerce
182;2024-11-07;476;1;231.04;28.72;mobile
183;2024-06-02;510;2;480.91;11.3;retail
184;2024-10-19;541;3;322.13;22.27;mobile
185;2024-06-07;314;1;153.36;5.26;mobile
186;2024-09-18;225;3;17.6;28.66;e-commerce
187;2023-03-18;372;1;153.05;13.11;e-commerce
188;2023-10-08;772;3;43.03;1.62;e-commerce
189;2024-04-24;649;3;87.1;32.19;retail
190;2024-05-12;206;2;329.22;28.44;mobile
191;2022-08-20;663;1;40.13;45.82;retail
192;2022-04-04;61;3;355.1;30.01;e-commerce
193;2023-09-25;949;1;478.25;31.13;retail
194;2025-01-16;17;2;170.58;43.14;e-commerce
195;2022-02-23;293;3;370.72;26.67;retail
196;2024-08-18;787;3;336.81;32.2;e-commerce
197;2023-08-01;554;1;25.88;11.68;retail
198;2022-05-19;215;2;63.68;13.11;mobile
199;2022-10-29;903;2;481.87;9.34;mobile
200;2022-06-17;923;1;40.45;41.49;e-commerce
201;2024-03-11;899;1;268.46;7.53;mobile
202;2025-01-09;912;3;478.68;43.37;retail
203;2024-04-26;519;3;341.66;29.99;e-commerce
204;2023-10-27;732;2;339.01;25.62;mobile
205;2023-12-30;574;3;318.04;18.8;retail
206;2024-05-06;629;1;149.92;7.71;mobile
207;2023-12-28;358;2;495.6;0.57;mobile
208;2023-02-05;67;1;417.02;33.31;mobile
209;2025-03-20;937;1;217.96;43.12;mobile
210;2022-06-27;326;3;328.75;2.32;e-commerce
211;2024-07-17;292;1;476.75;46.99;e-commerce
212;2023-08-10;478;2;164.11;26.42;mobile
213;2023-09-02;631;2;228.64;23.2;retail
214;2022-01-27;153;3;172.57;48.76;mobile
215;2022-10-05;315;1;117.99;16.04;mobile
216;2024-10-09;510;1;273.77;43.37;retail
217;2023-04-30;525;3;370.36;49.13;mobile
218;2024-06-17;171;3;387.88;48.5;retail
219;2024-07-29;989;1;140.38;48.95;e-commerce
220;2023-01-31;517;3;30.12;43.1;retail
221;2025-03-08;925;1;404.07;9.87;retail
222;2023-03-10;351;3;344.43;47.39;mobile
223;2024-02-23;455;1;154.49;4.33;mobile
224;2022-04-28;700;3;167.8;6.88;e-commerce
225;2022-06-17;750;1;374.38;32.06;retail
226;2025-01-11;196;3;321.19;30.72;mobile
227;2023-10-28;965;1;124.56;46.05;mobile
228;2023-02-10;761;1;453.7;24.81;e-commerce
229;2022-05-27;995;2;177.23;28.72;e-commerce
230;2024-01-15;172;3;476.31;6.79;retail
231;2022-08-26;537;3;151.13;25.08;e-commerce
232;2023-11-19;203;2;460.35;8.81;e-commerce
233;2023-10-04;230;1;260.69;12.51;mobile
234;2022-12-08;453;3;15.33;31.55;e-commerce
235;2022-06-30;538;3;204.58;6.58;e-commerce
236;2025-01-08;987;1;58.71;36.83;retail
237;2023-09-30;837;3;264.75;47.81;e-commerce
238;2025-02-05;559;1;298.19;14.76;mobile
239;2022-09-09;496;2;118.13;39.65;mobile
240;2024-04-22;153;2;259.66;6.87;e-commerce
241;2022-06-13;703;2;282.86;11.36;retail
242;2024-10-21;554;2;399.22;37.31;e-commerce
243;2022-04-08;201;1;117.08;30.04;retail
244;2024-05-22;727;3;465.28;22.55;retail
245;2024-01-16;242;2;436.75;40.32;e-commerce
246;2023-07-26;765;1;59.39;26.79;mobile
247;2024-07-30;842;3;183.25;22.79;mobile
248;2022-07-14;696;3;165.12;9.16;mobile
249;2022-05-29;723;1;241.24;35.7;e-commerce
250;2022-03-19;197;3;106.81;15.65;retail
251;2023-04-15;372;2;317.76;30.33;retail
252;2022-09-09;390;2;146.63;26.79;mobile
253;2022-11-22;280;1;236.29;9.39;retail
254;2022-07-03;806;3;467.56;9.09;e-commerce
255;2023-02-19;811;3;76.86;36.65;retail
256;2024-09-08;626;3;133.14;44.89;retail
257;2023-05-08;173;3;388.85;36.31;e-commerce
258;2024-11-15;375;1;208.05;13.06;retail
259;2024-02-09;447;2;98.98;26.99;mobile
260;2024-12-26;765;1;324.03;24.09;e-commerce
261;2024-02-09;329;3;459.95;32.37;e-commerce
262;2025-01-22;912;3;396.92;19.08;retail
263;2022-09-15;37;1;290.43;31.95;e-commerce
264;2022-05-31;926;1;449.0;1.73;mobile
265;2025-02-28;103;3;233.68;41.67;retail
266;2023-08-11;504;2;456.34;20.26;e-commerce
267;2022-04-11;278;3;175.47;24.14;retail
268;2022-05-05;698;2;159.63;2.5;retail
269;2023-10-17;865;2;142.17;46.99;retail
270;2024-01-28;653;1;305.14;32.68;mobile
271;2022-07-10;100;2;377.28;15.96;retail
272;2022-01-06;14;1;466.53;41.73;mobile
273;2022-12-29;443;3;298.59;43.51;retail
274;2024-05-28;829;2;177.09;41.28;e-commerce
275;2023-03-20;4;2;184.23;24.5;e-commerce
276;2023-02-08;246;1;444.2;38.06;e-commerce
277;2023-11-15;12;2;479.64;39.12;mobile
278;2024-07-25;946;3;451.89;7.93;mobile
279;2024-01-11;983;1;365.24;13.11;e-commerce
280;2023-07-03;526;1;372.04;28.0;retail
281;2024-09-06;810;3;493.94;0.26;mobile
282;2023-12-09;818;3;154.6;5.26;retail
283;2024-11-28;707;2;474.85;26.24;mobile
284;2024-08-09;162;2;380.17;14.53;mobile
285;2024-02-24;631;3;401.17;3.2;e-commerce
286;2025-03-22;86;1;403.86;14.58;mobile
287;2023-06-27;448;3;78.33;35.89;mobile
288;2024-02-14;390;2;287.99;12.45;mobile
289;2023-07-26;266;2;275.94;0.15;retail
290;2024-11-13;350;1;411.54;23.46;mobile
291;2022-11-13;863;3;390.2;48.94;e-commerce
292;2024-10-18;428;2;107.2;26.99;e-commerce
293;2024-10-12;601;1;39.42;4.68;mobile
294;2022-06-28;671;2;498.9;46.12;e-commerce
295;2024-02-08;680;1;113.9;36.32;e-commerce
296;2022-12-29;939;2;22.57;25.47;mobile
297;2022-10-27;648;3;388.82;26.58;retail
298;2022-10-16;990;1;344.51;7.99;e-commerce
299;2023-10-11;657;2;39.0;16.14;mobile
300;2024-02-28;813;2;204.63;22.44;mobile
301;2023-09-08;752;3;430.28;0.28;mobile
302;2023-02-22;670;2;79.55;1.53;mobile
303;2022-08-18;635;3;157.34;47.73;e-commerce
304;2023-09-04;75;3;484.73;21.23;e-commerce
305;2023-03-15;150;1;159.51;24.87;mobile
306;2024-08-14;62;2;495.71;4.26;retail
307;2024-11-30;74;3;39.55;43.29;retail
308;2023-07-20;214;2;50.48;9.03;retail
309;2023-05-20;196;3;350.66;31.24;mobile
310;2023-11-04;401;3;112.72;49.26;e-commerce
311;2024-06-07;260;2;405.6;47.1;mobile
312;2022-11-15;899;1;467.61;23.47;retail
313;2022-12-04;369;2;486.83;18.9;mobile
314;2024-02-03;428;2;180.1;38.28;e-commerce
315;2024-09-21;162;2;192.46;15.24;retail
316;2024-04-11;694;3;198.67;48.42;mobile
317;2022-07-11;517;1;190.98;18.21;mobile
318;2025-02-25;264;1;245.05;15.3;mobile
319;2023-05-29;929;1;260.92;8.44;e-commerce
320;2022-02-23;946;3;157.31;9.09;e-commerce
321;2022-09-01;543;3;247.19;6.88;e-commerce
322;2023-08-07;990;1;382.67;15.28;e-commerce
323;2025-03-17;317;2;127.54;18.41;e-commerce
324;2025-02-27;848;3;141.55;3.4;mobile
325;2022-12-15;90;1;321.83;8.29;retail
326;2023-03-23;527;2;458.01;27.38;mobile
327;2025-03-28;166;1;376.33;3.81;retail
328;2022-04-23;185;3;322.7;35.41;retail
329;2025-02-05;599;2;240.57;35.17;retail
330;2024-03-27;265;2;444.2;1.6;retail
331;2023-08-23;200;1;166.25;41.13;mobile
332;2023-11-01;318;2;18.49;23.47;e-commerce
333;2022-07-12;464;3;203.33;14.12;e-commerce
334;2025-04-01;195;3;477.19;31.42;retail
335;2024-06-08;306;1;164.42;19.98;mobile
336;2024-07-20;425;3;238.8;40.96;mobile
337;2022-05-18;307;3;51.92;3.22;e-commerce
338;2023-03-03;401;1;66.88;48.74;e-commerce
339;2022-09-07;654;1;309.12;23.92;retail
340;2024-06-05;66;2;234.44;9.33;e-commerce
341;2025-02-12;211;3;207.05;13.34;e-commerce
342;2023-10-29;84;1;282.79;44.82;retail
343;2022-11-08;574;1;240.97;4.81;retail
344;2024-06-30;173;2;94.32;7.87;e-commerce
345;2023-06-18;421;3;86.52;21.65;retail
346;2023-06-21;198;2;307.83;0.43;retail
347;2024-04-28;610;2;88.22;3.68;mobile
348;2022-01-30;507;3;471.75;16.04;retail
349;2023-10-13;48;1;382.38;31.8;mobile
350;2024-01-01;732;2;122.98;31.01;e-commerce
351;2025-03-30;454;3;115.8;7.82;mobile
352;2024-03-23;56;1;307.23;24.53;e-commerce
353;2023-05-06;234;1;428.63;29.73;retail
354;2025-02-21;504;2;38.11;15.33;e-commerce
355;2024-01-05;270;1;394.51;16.95;e-commerce
356;2024-09-15;403;2;389.19;47.78;retail
357;2024-06-18;935;2;481.38;43.57;retail
358;2022-07-13;528;1;196.22;49.64;mobile
359;2024-06-16;942;2;382.59;11.68;retail
360;2022-10-24;770;3;79.84;29.44;e-commerce
361;2023-11-06;483;3;26.79;31.9;mobile
362;2022-11-06;172;1;489.03;42.16;e-commerce
363;2023-10-14;270;3;451.25;7.89;e-commerce
364;2022-02-21;154;2;279.26;25.59;mobile
365;2022-01-22;526;2;274.8;25.94;e-commerce
366;2023-01-24;58;1;164.58;17.1;mobile
367;2024-01-09;445;3;22.22;24.47;retail
368;2025-02-15;163;2;462.46;40.77;mobile
369;2024-07-21;293;3;202.94;10.79;retail
370;2023-03-23;188;3;347.77;42.39;retail
371;2023-07-12;290;2;16.17;30.85;retail
372;2022-03-23;357;3;401.97;34.07;e-commerce
373;2023-12-03;336;2;142.2;31.11;retail
374;2022-10-26;218;3;225.7;14.32;retail
375;2024-08-09;105;1;223.15;39.99;e-commerce
376;2024-12-31;759;2;51.15;14.68;retail
377;2024-12-29;755;1;50.48;38.4;e-commerce
378;2024-11-17;696;3;13.95;10.99;mobile
379;2022-07-20;620;3;284.74;37.36;e-commerce
380;2023-05-10;883;3;235.96;5.23;e-commerce
381;2023-10-08;605;1;404.3;12.24;mobile
382;2022-03-02;117;3;153.32;13.25;mobile
383;2022-01-13;174;1;441.19;23.52;mobile
384;2022-07-03;614;1;458.37;38.31;retail
385;2022-02-18;160;3;78.68;26.09;retail
386;2024-04-14;183;1;429.37;44.36;mobile
387;2023-09-14;92;1;315.98;11.41;retail
388;2022-06-08;763;1;255.81;10.22;retail
389;2022-06-13;125;1;411.05;47.95;e-commerce
390;2024-04-30;898;3;274.88;44.89;e-commerce
391;2022-04-07;1;2;434.81;42.32;mobile
392;2025-03-29;61;3;350.36;46.8;retail
393;2024-10-21;165;1;100.66;32.61;e-commerce
394;2023-03-09;19;1;243.21;36.22;mobile
395;2023-06-05;656;3;350.54;45.53;e-commerce
396;2022-05-17;943;3;433.99;5.02;retail
397;2025-01-18;643;1;407.14;20.89;retail
398;2023-02-04;155;2;116.36;31.25;retail
399;2024-08-18;626;3;169.4;2.6;retail
400;2023-05-10;523;1;185.54;31.7;mobile
401;2022-07-12;346;1;377.93;11.49;retail
402;2022-06-05;846;2;234.27;48.8;retail
403;2024-03-23;921;3;415.41;2.03;mobile
404;2025-03-07;375;1;463.49;10.32;retail
405;2025-01-21;582;3;156.36;3.73;retail
406;2025-01-30;560;1;427.47;28.13;mobile
407;2025-03-21;613;2;62.55;20.86;retail
408;2023-12-22;871;2;328.06;36.71;e-commerce
409;2024-06-03;863;3;198.86;38.22;mobile
410;2024-08-24;287;2;447.32;44.66;retail
411;2023-06-20;777;3;246.04;23.4;retail
412;2022-02-28;725;1;498.47;30.84;mobile
413;2024-11-24;885;1;311.29;39.68;e-commerce
414;2023-05-15;88;2;260.43;46.13;mobile
415;2024-09-26;319;1;113.01;47.93;mobile
416;2022-10-21;648;1;225.65;3.59;mobile
417;2024-10-23;119;2;478.4;47.92;mobile
418;2024-09-29;370;1;47.35;29.35;mobile
419;2025-03-08;92;3;328.39;36.01;retail
420;2024-12-09;844;1;87.93;6.71;mobile
421;2022-06-30;129;2;412.25;12.05;retail
422;2024-02-27;455;1;372.45;14.58;mobile
423;2024-04-01;534;3;74.2;12.65;e-commerce
424;2022-12-14;691;3;106.6;45.77;mobile
425;2025-03-21;668;1;152.17;13.06;retail
426;2023-10-17;968;1;77.99;29.1;retail
427;2025-01-27;192;3;220.84;48.74;mobile
428;2025-02-25;978;3;315.87;7.49;retail
429;2024-07-31;80;1;368.59;47.25;retail
430;2022-03-09;990;1;232.12;22.15;mobile
431;2024-12-09;415;2;353.89;23.72;retail
432;2024-12-12;84;1;451.65;38.05;retail
433;2024-03-12;729;3;41.41;14.78;retail
434;2022-11-02;466;1;88.48;7.68;e-commerce
435;2024-08-07;888;2;106.82;9.35;mobile
436;2025-03-30;925;1;248.17;18.47;e-commerce
437;2023-06-13;578;3;401.13;8.96;mobile
438;2025-02-14;807;3;37.27;22.16;e-commerce
439;2023-11-22;160;3;276.89;25.52;e-commerce
440;2023-11-11;264;2;62.4;36.45;mobile
441;2024-11-16;697;2;397.96;41.94;mobile
442;2023-03-20;222;2;299.82;28.54;e-commerce
443;2023-10-09;647;1;325.29;24.07;retail
444;2024-08-11;367;3;266.7;40.15;retail
445;2025-01-28;403;2;181.86;31.51;mobile
446;2024-12-01;751;2;378.31;39.62;mobile
447;2023-04-18;26;2;320.49;34.27;mobile
448;2024-06-30;733;1;145.35;14.45;mobile
449;2023-04-02;527;1;155.87;47.01;retail
450;2024-09-03;55;2;110.86;15.56;mobile
451;2023-03-04;861;2;456.89;32.26;e-commerce
452;2024-12-01;786;1;229.95;16.39;retail
453;2022-06-03;59;2;175.83;49.66;retail
454;2025-01-15;514;3;300.59;13.04;mobile
455;2023-05-21;918;2;387.95;41.26;e-commerce
456;2022-11-25;365;2;15.94;36.64;retail
457;2024-04-11;917;1;307.2;16.92;retail
458;2024-12-13;320;3;161.51;27.27;e-commerce
459;2024-01-19;143;2;359.74;6.66;mobile
460;2022-07-05;352;3;83.28;48.58;retail
461;2024-06-01;331;2;138.88;6.62;e-commerce
462;2022-03-21;340;2;249.6;3.3;mobile
463;2023-01-31;839;3;309.75;23.91;mobile
464;2024-08-14;419;1;382.94;37.19;retail
465;2023-03-04;136;1;140.42;20.17;retail
466;2023-08-07;891;3;190.36;24.57;mobile
467;2023-09-03;894;2;229.73;1.48;e-commerce
468;2024-05-24;388;3;380.63;31.69;mobile
469;2023-10-31;684;1;271.59;32.96;mobile
470;2025-01-22;46;2;392.53;35.84;mobile
471;2022-03-27;144;1;374.65;6.7;e-commerce
472;2022-07-13;799;2;439.71;22.66;mobile
473;2022-05-05;818;3;252.37;49.27;mobile
474;2022-07-05;400;3;129.32;18.78;retail
475;2025-02-28;893;1;462.73;1.76;mobile
476;2023-03-27;501;2;17.62;0.39;mobile
477;2024-11-14;185;3;321.88;42.18;mobile
478;2023-11-24;800;1;287.56;1.81;mobile
479;2022-04-15;399;2;87.21;34.46;retail
480;2023-03-04;528;2;392.63;15.47;mobile
481;2022-06-27;254;2;472.57;18.49;mobile
482;2023-08-21;104;1;121.91;0.83;e-commerce
483;2022-02-25;869;3;452.46;16.11;e-commerce
484;2023-06-10;358;1;52.64;32.22;mobile
485;2023-07-17;879;3;378.69;33.64;retail
486;2022-02-02;145;2;466.28;16.87;e-commerce
487;2024-06-04;485;2;498.12;39.11;retail
488;2023-01-20;505;1;40.04;32.88;mobile
489;2024-04-29;146;2;26.62;41.24;e-commerce
490;2024-10-22;56;3;281.74;20.7;retail
491;2023-10-29;437;3;344.88;25.7;e-commerce
492;2025-02-04;822;3;170.39;18.84;mobile
493;2025-02-06;201;1;153.84;18.86;retail
494;2023-06-24;784;1;302.3;25.29;mobile
495;2024-09-01;965;1;262.86;43.11;retail
496;2022-08-08;121;2;263.94;11.04;retail
497;2024-03-05;740;2;432.75;28.96;e-commerce
498;2022-02-15;309;2;213.07;6.24;e-commerce
499;2023-06-11;666;1;58.28;9.86;e-commerce
500;2022-03-09;527;3;179.69;37.39;mobile
501;2023-05-22;667;3;491.73;16.43;mobile
502;2023-12-11;226;1;323.43;4.73;e-commerce
503;2023-09-18;339;2;73.77;7.47;e-commerce
504;2024-01-10;532;2;487.34;33.1;e-commerce
505;2024-11-30;531;3;22.14;25.13;e-commerce
506;2023-01-06;659;1;477.75;6.0;e-commerce
507;2022-04-25;764;2;321.75;8.05;mobile
508;2023-10-05;464;2;171.18;0.82;retail
509;2024-04-27;1;2;90.05;4.83;e-commerce
510;2022-08-24;575;3;14.91;19.66;mobile
511;2022-09-24;80;2;237.92;26.87;e-commerce
512;2023-06-12;852;2;422.82;49.54;retail
513;2022-12-19;249;1;200.06;22.47;e-commerce
514;2024-12-05;317;2;180.75;3.33;retail
515;2023-04-20;370;1;107.99;40.3;retail
516;2024-09-28;892;1;401.42;25.09;e-commerce
517;2023-05-21;475;1;499.44;45.32;mobile
518;2022-08-13;747;2;400.8;44.71;retail
519;2023-05-03;817;1;459.69;33.94;retail
520;2022-10-04;770;3;163.77;49.27;e-commerce
521;2022-08-04;776;3;135.08;7.43;retail
522;2023-02-21;120;2;467.12;40.38;retail
523;2025-02-01;592;1;456.43;16.18;e-commerce
524;2022-09-01;676;2;78.54;2.38;mobile
525;2023-11-05;381;1;128.62;6.22;retail
526;2022-11-22;484;2;232.95;1.53;mobile
527;2023-10-15;348;1;359.97;28.38;retail
528;2024-05-05;842;1;385.62;22.78;mobile
529;2024-10-16;213;3;305.43;15.75;mobile
530;2025-03-03;259;2;438.34;12.36;e-commerce
531;2023-10-30;49;3;10.17;23.58;retail
532;2022-01-17;804;1;248.05;12.8;e-commerce
533;2023-01-29;424;3;475.54;15.95;e-commerce
534;2022-09-17;475;2;312.65;3.74;mobile
535;2023-06-15;510;2;385.05;19.3;retail
536;2024-10-20;554;1;186.96;22.91;mobile
537;2022-11-17;772;2;224.41;0.98;retail
538;2024-07-08;683;3;246.27;17.62;e-commerce
539;2022-06-28;98;2;273.76;41.28;e-commerce
540;2025-01-23;643;2;269.99;17.93;mobile
541;2023-09-25;319;2;157.1;3.75;e-commerce
542;2024-06-01;204;2;315.53;49.89;retail
543;2022-08-02;769;2;260.21;16.51;retail
544;2023-09-05;714;3;276.24;36.59;retail
545;2025-01-28;684;1;234.98;25.63;retail
546;2022-08-23;566;3;169.41;11.17;mobile
547;2022-01-08;855;2;143.73;43.25;mobile
548;2022-09-28;792;2;138.03;28.01;e-commerce
